id,name,lat,lng,description,cuisine,style,created_at,updated_at,area,phone,,,price,reserve_url,mobile_reserve_url,image_url,city,state,address,postal_code,country,url,menu_url
96,AraOn,41.879736,-87.632668,,,,2018-11-25 21:45:20.953662,2018-11-25 21:45:20.953662,Chicago / Illinois,3127817300,,,2,http://www.opentable.com/single.aspx?rid=22804,http://mobile.opentable.com/opentable/?restId=22804,https://www.opentable.com/img/restimages/22804.jpg,Chicago,IL,160 W. Adams Street,60603,US,,
97,Bottlefork,41.890438,-87.63079,,,,2018-11-25 21:45:20.955988,2018-11-25 21:45:20.955988,Chicago / Illinois,3129551900x,,,2,http://www.opentable.com/single.aspx?rid=117958,http://mobile.opentable.com/opentable/?restId=117958,https://www.opentable.com/img/restimages/117958.jpg,Chicago,IL,441 North Clark Street,60654,US,,
98,Macku Signature,41.935593,-87.649099,,,,2018-11-25 21:45:20.958068,2018-11-25 21:45:20.958068,Chicago / Illinois,7733608816x,,,3,http://www.opentable.com/single.aspx?rid=107047,http://mobile.opentable.com/opentable/?restId=107047,https://www.opentable.com/img/restimages/107047.jpg,Chicago,IL,2925 N Halsted St,60657,US,,
99,Chuck's: A Kerry Simon Kitchen,41.886436,-87.624614,,,,2018-11-25 21:45:20.96014,2018-11-25 21:45:20.96014,Chicago / Illinois,3123346700x,,,2,http://www.opentable.com/single.aspx?rid=91492,http://mobile.opentable.com/opentable/?restId=91492,https://www.opentable.com/img/restimages/91492.jpg,Chicago,IL,224 North Michigan Ave,60601,US,,
100,Coco Pazzo,41.890037,-87.635682,,,,2018-11-25 21:45:20.962164,2018-11-25 21:45:20.962164,Chicago / Illinois,3128360900x,,,3,http://www.opentable.com/single.aspx?rid=1004,http://mobile.opentable.com/opentable/?restId=1004,https://www.opentable.com/img/restimages/1004.jpg,Chicago,IL,300 West Hubbard,60610,US,,
101,David Burke's Primehouse in the James Hotel,41.892946,-87.62539,,,,2018-11-25 21:45:20.964306,2018-11-25 21:45:20.964306,Chicago / Illinois,3126606000x,,,3,http://www.opentable.com/single.aspx?rid=21979,http://mobile.opentable.com/opentable/?restId=21979,https://www.opentable.com/img/restimages/21979.jpg,Chicago,IL,616 N Rush Street,60611,US,,
102,Fulton Market Kitchen,41.887184,-87.650677,,,,2018-12-02 20:25:55.197302,2018-12-02 20:25:55.197302,Chicago / Illinois,3127336900x,,,3,http://www.opentable.com/single.aspx?rid=139012,http://mobile.opentable.com/opentable/?restId=139012,https://www.opentable.com/img/restimages/139012.jpg,Chicago,IL,311 North Sangamon,60607,US,,
103,Sullivan's Steakhouse - Chicago,41.889706,-87.629572,,,,2018-12-02 20:25:55.30624,2018-12-02 20:25:55.30624,Chicago / Illinois,3125273510x,,,3,http://www.opentable.com/single.aspx?rid=11725,http://mobile.opentable.com/opentable/?restId=11725,https://www.opentable.com/img/restimages/11725.jpg,Chicago,IL,415 North Dearborn Street,60654,US,,
104,Shor Restaurant – Hyatt Regency – McCormick,41.853328,-87.620661,,,,2018-12-02 20:25:55.30858,2018-12-02 20:25:55.30858,Chicago / Illinois,3125284140,,,3,http://www.opentable.com/single.aspx?rid=14044,http://mobile.opentable.com/opentable/?restId=14044,https://www.opentable.com/img/restimages/14044.jpg,Chicago,IL,2233 S Martin Luther King Drive,60601,US,,
105,East Bank Club- Maxwell's at the Club,41.890731,-87.639264,,,,2018-12-02 20:25:55.312344,2018-12-02 20:25:55.312344,Chicago / Illinois,(312) 527-5800x301,,,2,http://www.opentable.com/single.aspx?rid=30226,http://mobile.opentable.com/opentable/?restId=30226,https://www.opentable.com/img/restimages/30226.jpg,Chicago,IL,500 North Kingsbury Street,60654,US,,
106,Vora,41.901531,-87.631545,,,,2018-12-02 20:25:55.31557,2018-12-02 20:25:55.31557,Chicago / Illinois,3129292035x,,,2,http://www.opentable.com/single.aspx?rid=112834,http://mobile.opentable.com/opentable/?restId=112834,https://www.opentable.com/img/restimages/112834.jpg,Chicago,IL,1028 N. Clark St,60610,US,,
107,City Winery - Chicago,41.884475,-87.656973,,,,2018-12-02 20:25:55.318968,2018-12-02 20:25:55.318968,Chicago / Illinois,3122295992x,,,3,http://www.opentable.com/single.aspx?rid=98347,http://mobile.opentable.com/opentable/?restId=98347,https://www.opentable.com/img/restimages/98347.jpg,Chicago,IL,1200 West Randolph Street,60607,US,,
108,Sable Kitchen & Bar,41.891017,-87.628025,,,,2018-12-02 20:25:55.321428,2018-12-02 20:25:55.321428,Chicago / Illinois,3127559704x,,,3,http://www.opentable.com/single.aspx?rid=41947,http://mobile.opentable.com/opentable/?restId=41947,https://www.opentable.com/img/restimages/41947.jpg,Chicago,IL,505 North State Street,60654,US,,
109,Old Town Social,41.91094,-87.640812,,,,2018-12-02 20:25:55.324205,2018-12-02 20:25:55.324205,Chicago / Illinois,3122662277,,,2,http://www.opentable.com/single.aspx?rid=101758,http://mobile.opentable.com/opentable/?restId=101758,https://www.opentable.com/img/restimages/101758.jpg,Chicago,IL,455 W North Ave,60610,US,,
110,Nouveau Tavern,41.893381,-87.638226,,,,2018-12-02 20:25:55.326175,2018-12-02 20:25:55.326175,Chicago / Illinois,3129154100x,,,3,http://www.opentable.com/single.aspx?rid=110926,http://mobile.opentable.com/opentable/?restId=110926,https://www.opentable.com/img/restimages/110926.jpg,Chicago,IL,"358 W Ontario St, 1-B",60654,US,,
111,Chopal Kabab & Steak,41.998023,-87.686607,,,,2018-12-02 20:25:55.328129,2018-12-02 20:25:55.328129,Chicago / Illinois,7733384080,,,2,http://www.opentable.com/single.aspx?rid=95128,http://mobile.opentable.com/opentable/?restId=95128,https://www.opentable.com/img/restimages/95128.jpg,Chicago,IL,2240-42 W Devon,60659,US,,
112,ikram cafe,41.894779,-87.627263,,,,2018-12-02 20:25:55.330488,2018-12-02 20:25:55.330488,Chicago / Illinois,3125871000,,,2,http://www.opentable.com/single.aspx?rid=109567,http://mobile.opentable.com/opentable/?restId=109567,https://www.opentable.com/img/restimages/109567.jpg,Chicago,IL,15 East Huron Street,60611,US,,
113,Yum Cha,41.884316,-87.619487,,,,2018-12-02 20:25:55.332762,2018-12-02 20:25:55.332762,Chicago / Illinois,3129468885x,,,3,http://www.opentable.com/single.aspx?rid=137149,http://mobile.opentable.com/opentable/?restId=137149,https://www.opentable.com/img/restimages/137149.jpg,Chicago,IL,333 East Randolph St,60601,US,,
114,"Pavilion - The Langham, Chicago",41.888564,-87.627258,,,,2018-12-02 20:25:55.334835,2018-12-02 20:25:55.334835,Chicago / Illinois,3129237710x,,,3,http://www.opentable.com/single.aspx?rid=109561,http://mobile.opentable.com/opentable/?restId=109561,https://www.opentable.com/img/restimages/109561.jpg,Chicago,IL,330 N Wabash Ave,60611,US,,
115,A10 Hyde Park,41.799525,-87.589857,,,,2018-12-02 20:25:55.336792,2018-12-02 20:25:55.336792,Chicago / Illinois,7732881010x,,,2,http://www.opentable.com/single.aspx?rid=114625,http://mobile.opentable.com/opentable/?restId=114625,https://www.opentable.com/img/restimages/114625.jpg,Chicago,IL,1462 E. 53rd Street,60615,US,,
116,Ani,41.937143,-87.665649,,,,2018-12-02 20:25:55.339587,2018-12-02 20:25:55.339587,Chicago / Illinois,8722068553x,,,3,http://www.opentable.com/single.aspx?rid=136327,http://mobile.opentable.com/opentable/?restId=136327,https://www.opentable.com/img/restimages/136327.jpg,Chicago,IL,3056 Lincoln Ave.,60657,US,,
117,Trenchermen,41.91039,-87.678988,,,,2018-12-02 20:25:55.341751,2018-12-02 20:25:55.341751,Chicago / Illinois,7736611540x,,,2,http://www.opentable.com/single.aspx?rid=89845,http://mobile.opentable.com/opentable/?restId=89845,https://www.opentable.com/img/restimages/89845.jpg,Chicago,IL,2039 West North Avenue,60647,US,,
118,Bar Toma,41.897694,-87.625147,,,,2018-12-02 20:25:55.34378,2018-12-02 20:25:55.34378,Chicago / Illinois,3122663110x,,,2,http://www.opentable.com/single.aspx?rid=81271,http://mobile.opentable.com/opentable/?restId=81271,https://www.opentable.com/img/restimages/81271.jpg,Chicago,IL,110 East Pearson,60611,US,,
119,"India House, Chicago",41.891622,-87.630365,,,,2018-12-02 20:25:55.345726,2018-12-02 20:25:55.345726,Chicago / Illinois,3126459500,,,2,http://www.opentable.com/single.aspx?rid=63277,http://mobile.opentable.com/opentable/?restId=63277,https://www.opentable.com/img/restimages/63277.jpg,Chicago,IL,59 W. Grand Ave,63277,US,,
120,Old Town Pour House,41.908183,-87.634163,,,,2018-12-02 20:25:55.347748,2018-12-02 20:25:55.347748,Chicago / Illinois,3124772800x,,,2,http://www.opentable.com/single.aspx?rid=82570,http://mobile.opentable.com/opentable/?restId=82570,https://www.opentable.com/img/restimages/82570.jpg,Chicago,IL,1419 N. Wells St,60610,US,,
121,Table Fifty-Two,41.903138,-87.63038,,,,2018-12-02 20:25:55.350775,2018-12-02 20:25:55.350775,Chicago / Illinois,3125734000x,,,3,http://www.opentable.com/single.aspx?rid=30163,http://mobile.opentable.com/opentable/?restId=30163,https://www.opentable.com/img/restimages/30163.jpg,Chicago,IL,52 West Elm Street,60610,US,,
122,Analogue,41.927324,-87.704113,,,,2018-12-02 20:25:55.353488,2018-12-02 20:25:55.353488,Chicago / Illinois,7739048567x,,,2,http://www.opentable.com/single.aspx?rid=148738,http://mobile.opentable.com/opentable/?restId=148738,https://www.opentable.com/img/restimages/148738.jpg,Chicago,IL,2523 N. Milwaukee Ave,60647,US,,
123,Club Lago Restaurant,41.895296,-87.636983,,,,2018-12-02 20:25:55.356664,2018-12-02 20:25:55.356664,Chicago / Illinois,3129512849,,,2,http://www.opentable.com/single.aspx?rid=64945,http://mobile.opentable.com/opentable/?restId=64945,https://www.opentable.com/img/restimages/64945.jpg,Chicago,IL,331 W. Superior,60654,US,,
124,Blue Star Bistro & Wine Bar,41.90377,-87.662594,,,,2018-12-02 20:25:55.359217,2018-12-02 20:25:55.359217,Chicago / Illinois,7732782233x,,,2,http://www.opentable.com/single.aspx?rid=59935,http://mobile.opentable.com/opentable/?restId=59935,https://www.opentable.com/img/restimages/59935.jpg,Chicago,IL,1209 N Noble Street (free parking),60642,US,,
125,Connie's Pizza in Gold Coast,41.901337,-87.62888,,,,2018-12-02 20:25:55.361598,2018-12-02 20:25:55.361598,Chicago / Illinois,3123263443x,,,2,http://www.opentable.com/single.aspx?rid=112885,http://mobile.opentable.com/opentable/?restId=112885,https://www.opentable.com/img/restimages/112885.jpg,Chicago,IL,1030 N. State St,60610,US,,
126,Fornello Trattoria,41.954473,-87.654956,,,,2018-12-02 20:25:55.364239,2018-12-02 20:25:55.364239,Chicago / Illinois,7734041800x,,,2,http://www.opentable.com/single.aspx?rid=110125,http://mobile.opentable.com/opentable/?restId=110125,https://www.opentable.com/img/restimages/110125.jpg,Chicago,IL,1011 W. Irving Park Rd,60613,US,,
127,Newport Bar and Grill,41.944433,-87.663521,,,,2018-12-02 20:30:42.341161,2018-12-02 20:30:42.341161,Chicago / Illinois,7733259111x,,,2,http://www.opentable.com/single.aspx?rid=73690,http://mobile.opentable.com/opentable/?restId=73690,https://www.opentable.com/img/restimages/73690.jpg,Chicago,IL,1344 W. Newport,60657,US,,
128,Bub City,41.890351,-87.630945,,,,2018-12-02 20:30:42.345376,2018-12-02 20:30:42.345376,Chicago / Illinois,312-610-4200x,,,2,http://www.opentable.com/single.aspx?rid=100258,http://mobile.opentable.com/opentable/?restId=100258,https://www.opentable.com/img/restimages/100258.jpg,Chicago,IL,435 N Clark St,60654,US,,
129,Via Veneto,41.99639,-87.717446,,,,2018-12-02 20:30:42.347879,2018-12-02 20:30:42.347879,Chicago / Illinois,7732670888,,,2,http://www.opentable.com/single.aspx?rid=700,http://mobile.opentable.com/opentable/?restId=700,https://www.opentable.com/img/restimages/700.jpg,Chicago,IL,6340 N Lincoln,60659,US,,
130,Nico Osteria,41.901285,-87.627429,,,,2018-12-02 20:30:42.351521,2018-12-02 20:30:42.351521,Chicago / Illinois,3129947100x,,,4,http://www.opentable.com/single.aspx?rid=115525,http://mobile.opentable.com/opentable/?restId=115525,https://www.opentable.com/img/restimages/115525.jpg,Chicago,IL,1015 N Rush St,60611,US,,
131,Francesca's Bryn Mawr,41.983629,-87.656707,,,,2018-12-02 20:30:42.355346,2018-12-02 20:30:42.355346,Chicago / Illinois,7735069261x,,,2,http://www.opentable.com/single.aspx?rid=26737,http://mobile.opentable.com/opentable/?restId=26737,https://www.opentable.com/img/restimages/26737.jpg,Chicago,IL,1039 West Bryn Mawr Avenue,60660,US,,
132,Merlo on Maple,41.901956,-87.628918,,,,2018-12-02 20:30:42.358211,2018-12-02 20:30:42.358211,Chicago / Illinois,3123358200x,,,4,http://www.opentable.com/single.aspx?rid=6382,http://mobile.opentable.com/opentable/?restId=6382,https://www.opentable.com/img/restimages/6382.jpg,Chicago,IL,16 W Maple St,60610,US,,
133,Gyu-Kaku - Chicago,41.892749,-87.622345,,,,2018-12-02 20:30:42.361906,2018-12-02 20:30:42.361906,Chicago / Illinois,3122668929,,,2,http://www.opentable.com/single.aspx?rid=47959,http://mobile.opentable.com/opentable/?restId=47959,https://www.opentable.com/img/restimages/47959.jpg,Chicago,IL,210 E. Ohio St,60611,US,,
134,Bistro Voltaire,41.896606,-87.63533,,,,2018-12-02 20:30:42.364666,2018-12-02 20:30:42.364666,Chicago / Illinois,3122650911x,,,2,http://www.opentable.com/single.aspx?rid=65644,http://mobile.opentable.com/opentable/?restId=65644,https://www.opentable.com/img/restimages/65644.jpg,Chicago,IL,226 West Chicago Ave,60654,US,,
135,The Indian Garden - Chicago,41.893353,-87.621588,,,,2018-12-02 20:30:42.36734,2018-12-02 20:30:42.36734,Chicago / Illinois,3122804910,,,2,http://www.opentable.com/single.aspx?rid=8030,http://mobile.opentable.com/opentable/?restId=8030,https://www.opentable.com/img/restimages/8030.jpg,Chicago,IL,247 E Ontario,60611,US,,
136,Paola's Vinum,41.877132,-87.642755,,,,2018-12-02 20:30:42.371473,2018-12-02 20:30:42.371473,Chicago / Illinois,3127759311x,,,2,http://www.opentable.com/single.aspx?rid=156895,http://mobile.opentable.com/opentable/?restId=156895,https://www.opentable.com/img/restimages/156895.jpg,Chicago,IL,328 S Jefferson,60661,US,,
137,Baba Pita,41.8858,-87.653505,,,,2018-12-02 20:30:42.374431,2018-12-02 20:30:42.374431,Chicago / Illinois,3122433439,,,2,http://www.opentable.com/single.aspx?rid=146662,http://mobile.opentable.com/opentable/?restId=146662,https://www.opentable.com/img/restimages/146662.jpg,Chicago,IL,1032 W. Lake St.,60607,US,,
138,RoSal's,41.869637,-87.655827,,,,2018-12-02 20:30:42.377035,2018-12-02 20:30:42.377035,Chicago / Illinois,3122432357x,,,2,http://www.opentable.com/single.aspx?rid=158,http://mobile.opentable.com/opentable/?restId=158,https://www.opentable.com/img/restimages/158.jpg,Chicago,IL,1154 W. Taylor St.,60607,US,,
139,Tapas Valencia,41.861048,-87.627319,,,,2018-12-02 20:30:42.38346,2018-12-02 20:30:42.38346,Chicago / Illinois,3128424444,,,2,http://www.opentable.com/single.aspx?rid=28198,http://mobile.opentable.com/opentable/?restId=28198,https://www.opentable.com/img/restimages/28198.jpg,Chicago,IL,1530 S. State Street,60605,US,,
140,TRU,41.894522,-87.622937,,,,2018-12-02 20:30:42.386392,2018-12-02 20:30:42.386392,Chicago / Illinois,3122020001x,,,4,http://www.opentable.com/single.aspx?rid=168,http://mobile.opentable.com/opentable/?restId=168,https://www.opentable.com/img/restimages/168.jpg,Chicago,IL,676 North Saint Clair Street,60611,US,,
141,Ringo Japanese Kitchen,41.927478,-87.651411,,,,2018-12-02 20:30:42.38984,2018-12-02 20:30:42.38984,Chicago / Illinois,7732485788,,,2,http://www.opentable.com/single.aspx?rid=55369,http://mobile.opentable.com/opentable/?restId=55369,https://www.opentable.com/img/restimages/55369.jpg,Chicago,IL,2507 Lincoln Ave,60614,US,,
142,Packing House,41.883979,-87.654862,,,,2018-12-02 20:30:42.393529,2018-12-02 20:30:42.393529,Chicago / Illinois,3129294787x,,,2,http://www.opentable.com/single.aspx?rid=31237,http://mobile.opentable.com/opentable/?restId=31237,https://www.opentable.com/img/restimages/31237.jpg,Chicago,IL,1113 W. Randolph,60607,US,,
143,Havana,41.889766,-87.631766,,,,2018-12-02 20:30:42.397089,2018-12-02 20:30:42.397089,Chicago / Illinois,3126441900,,,2,http://www.opentable.com/single.aspx?rid=35425,http://mobile.opentable.com/opentable/?restId=35425,https://www.opentable.com/img/restimages/35425.jpg,Chicago,IL,412 N Clark,60654,US,,
144,Roong Petch,41.961524,-87.675116,,,,2018-12-02 20:30:42.399824,2018-12-02 20:30:42.399824,Chicago / Illinois,7739890818,,,2,http://www.opentable.com/single.aspx?rid=67639,http://mobile.opentable.com/opentable/?restId=67639,https://www.opentable.com/img/restimages/67639.jpg,Chicago,IL,1828 W. Montrose,60613,US,,
145,Randolph Tavern,41.884625,-87.633607,,,,2018-12-02 20:30:42.402116,2018-12-02 20:30:42.402116,Chicago / Illinois,3126833280,,,2,http://www.opentable.com/single.aspx?rid=144715,http://mobile.opentable.com/opentable/?restId=144715,https://www.opentable.com/img/restimages/144715.jpg,Chicago,IL,188 West Randolph,60601,US,,
146,Chicken Shop - Chicago,41.883746,-87.648281,,,,2018-12-02 20:30:42.4043,2018-12-02 20:30:42.4043,Chicago / Illinois,312 754 6920x,,,2,http://www.opentable.com/single.aspx?rid=151810,http://mobile.opentable.com/opentable/?restId=151810,https://www.opentable.com/img/restimages/151810.jpg,Chicago,IL,113-125 North Green Street,60607,US,,
147,North Pond,41.9289,-87.6356,,,,2018-12-02 20:30:42.406331,2018-12-02 20:30:42.406331,Chicago / Illinois,7734775845x,,,4,http://www.opentable.com/single.aspx?rid=2796,http://mobile.opentable.com/opentable/?restId=2796,https://www.opentable.com/img/restimages/2796.jpg,Chicago,IL,2610 North Cannon Drive,60657,US,,
148,Pizza East - Chicago,41.883846,-87.648579,,,,2018-12-02 20:30:42.408785,2018-12-02 20:30:42.408785,Chicago / Illinois,312 754 6920x,,,2,http://www.opentable.com/single.aspx?rid=150208,http://mobile.opentable.com/opentable/?restId=150208,https://www.opentable.com/img/restimages/150208.jpg,Chicago,IL,119 N Green St,60667,US,,
149,Pride Sushi and Thai,41.990712,-87.697353,,,,2018-12-02 20:30:42.411823,2018-12-02 20:30:42.411823,Chicago / Illinois,7733813354,,,2,http://www.opentable.com/single.aspx?rid=145702,http://mobile.opentable.com/opentable/?restId=145702,https://www.opentable.com/img/restimages/145702.jpg,Chicago,IL,2706 W. Peterson,60659,US,,
150,Moto Restaurant,41.886738,-87.651575,,,,2018-12-02 20:30:42.414651,2018-12-02 20:30:42.414651,Chicago / Illinois,3124910058,,,4,http://www.opentable.com/single.aspx?rid=4510,http://mobile.opentable.com/opentable/?restId=4510,https://www.opentable.com/img/restimages/4510.jpg,Chicago,IL,945 W Fulton,60607,US,,
151,Morton's The Steakhouse - Chicago - The Original,41.9012,-87.6284,,,,2018-12-02 20:30:42.417169,2018-12-02 20:30:42.417169,Chicago / Illinois,3122664820,,,4,http://www.opentable.com/single.aspx?rid=2519,http://mobile.opentable.com/opentable/?restId=2519,https://www.opentable.com/img/restimages/2519.jpg,Chicago,IL,1050 North State Street,60610,US,,
152,The Gage,41.88179,-87.624453,,,,2018-12-02 20:32:56.700968,2018-12-02 20:32:56.700968,Chicago / Illinois,3123724243,,,2,http://www.opentable.com/single.aspx?rid=10315,http://mobile.opentable.com/opentable/?restId=10315,https://www.opentable.com/img/restimages/10315.jpg,Chicago,IL,24 South Michigan Ave,60603,US,,
153,R J Grunt's,41.919495,-87.636439,,,,2018-12-02 20:32:56.705439,2018-12-02 20:32:56.705439,Chicago / Illinois,7739295363,,,2,http://www.opentable.com/single.aspx?rid=46147,http://mobile.opentable.com/opentable/?restId=46147,https://www.opentable.com/img/restimages/46147.jpg,Chicago,IL,2056 N. Lincoln Park West,60614,US,,
154,Sunny Side Up,41.895933,-87.626555,,,,2018-12-02 20:32:56.708007,2018-12-02 20:32:56.708007,Chicago / Illinois,3129304242,,,2,http://www.opentable.com/single.aspx?rid=99931,http://mobile.opentable.com/opentable/?restId=99931,https://www.opentable.com/img/restimages/99931.jpg,Chicago,IL,42 E Superior St,60611,US,,
155,Café Bionda,41.856379,-87.627173,,,,2018-12-02 20:32:56.711674,2018-12-02 20:32:56.711674,Chicago / Illinois,3123269800x,,,2,http://www.opentable.com/single.aspx?rid=13432,http://mobile.opentable.com/opentable/?restId=13432,https://www.opentable.com/img/restimages/13432.jpg,Chicago,IL,1924 S State Street,60616,US,,
156,South Water Kitchen,41.886052,-87.626115,,,,2018-12-02 20:32:56.715097,2018-12-02 20:32:56.715097,Chicago / Illinois,3122369300x,,,2,http://www.opentable.com/single.aspx?rid=138,http://mobile.opentable.com/opentable/?restId=138,https://www.opentable.com/img/restimages/138.jpg,Chicago,IL,225 N. Wabash Ave.,60601,US,,
